My main method is 'public love iLoveYou().',Did you know I am good with numbers? Give me yours so that I can prove it to you.,,,,,,
"My name is Jacob, and I speak Klingon.",Do you believe in fairytales? Because meeting you feels surreal.,,,,,,
My servers never go down... but I do!,Are you made of Copper and Tellurium? Coz you are CuTe.,,,,,,
Need me to unzip your files?,Do you have a special place in mind? Because I’d go anywhere with you.,,,,,,
Need me to unzip your files?,Aren’t you good at Algebra? Could you replace my X without asking Y?,,,,,,
Nice Set of Floppies!,"If you were a novel, you’d be a bestseller.",,,,,,
No GPU in the world could make you look hotter than you already are.,"If your heart were a prison, I would never mind being sentenced to life imprisonment.",,,,,,
No kinky Windows stuff.,Are you a parking ticket? Because you’ve got “FINE” written all over you.,,,,,,
"No matter how I sort things, you'll always be first.","If you were a pendant, I would want to keep you close to my heart.",,,,,,
"No, that's not a iphone in my pants, but thanks for noticing.",Are you a beaver? Because daaaaam.,,,,,,
"No, that's not a Logitech MX-100 in my pants, but thanks for noticing.",Are you 45° angle? I thought so. Because you are a-cute.,,,,,,
"No, that's not an iPod mini in my pocket. I'm just happy to see you.",Are you a treasure map? Because finding you would be the greatest adventure.,,,,,,
Nobody turns me on from a cold boot like you.,Are you a volcano? Coz I lava you!,,,,,,
Oh little processer of my desire!,Can I borrow a compass? Because I lose direction whenever you’re around.,,,,,,
"Oh you still like Laptops, the you can put yo lap on top of my dick",Oh! Are you Ariel? I think we “mermaid” for each other.,,,,,,
"Oh, you found out about my backups, didn't you?",Are you a campfire? Because you’re hot.,,,,,,
Our Love Routines link perfectly.,I am a good dancer. Hold my hands and let me prove it to you.,,,,,,
"Phone for you, I think it's your motherboard.","Let’s take a photo together, so my friends can see a living proof that angels exist.",,,,,,
Press any key to continue.,Guess what! I like Chinese. And I’m Soy into you.,,,,,,
Public class Your World extends My World.,Are you a time traveler? Because I can’t believe you haven’t been snatched up yet.,,,,,,
"Roses are #FF0000, violets are #0000FF. All my base are belong to you.",I should take rent from you. Because you spend a lot of time in my mind.,,,,,,
"There is no cache, lets go straight to the hard drive.","Can I take a picture of you, or do you always look this stunning?",,,,,,
There is no primitive data type that could possibly hold the number of things I would do to spend one night with you.,I guess I should wear gloves before touching you. Because you are too hot.,,,,,,
"Trust me, I'm user friendly.",You must be Australian because looking at you feels like I’m down under.,,,,,,
Want to come see my HARD Disk? I promise it isn't 3.5 inches and it ain't floppy.,Oh God! Pinch me quick so that I know I am not dreaming.,,,,,,
Want to see my HARD Disk? I promise it isn't 3.5 inches and it ain't floppy.,"Can I take a picture of you, or do you already come framed?",,,,,,
Want to see my Red Hat?,Are you 90° angle? Because you look so right.,,,,,,
We are an aggregation of classes: one cannot exist without the other.,"You can delete the app now, I’m here.",,,,,,
We can make beautiful .wav files together.,Are you a science nerd? Because I have my ion (eye on) you.,,,,,,
WebMD says your love is contagious.,Titanic? That’s my icebreaker. What’s up?,,,,,,
"Well, if that's how you feel, I guess it's time to upgrade.",What do you call a string of people lifting a mozzarella cheese? A cheesy pickup line.,,,,,,
"Well, now you've gone and killed my process.","Are you a hypnotist? Because whenever I see you, I go numb.",,,,,,
"What do you say we play a game of ""Words With More Than Friends?""","If you were a raindrop, you’d be the one that nourishes my soul.",,,,,,
What's a nice girl like you doing in a chat room like this?,"Aside from being so gorgeous and intelligent, what are your other attributes?",,,,,,
What's a nice girl like you doing in a chatroom like this?,"If you were a fragrance, you’d be rare and intoxicating.",,,,,,
What's the difference between a crush and a Facebook account? I'm not rapidly developing a Facebook account on you.,"Kiss me if I’m wrong, but fish can fly, right?",,,,,,
Where's the 'like' button for that smile?,"If kisses were raindrops, I’d wish for a thunderstorm.",,,,,,
while(myBAC >= 0.3) {YourHotness++; },Would you like Togo out with me sometime? We Congo to any place you like.,,,,,,
Why don't you come down to my basement apartment in my mom's house and see me sometime?,Do you have a map to your heart? I’d love to explore every corner.,,,,,,
"Would you like to enjoy my laptop, I promise I don't have any viruses...","Hi, my name is (your name), but you can call me tonight or tomorrow.",,,,,,
"Would you like to enjoy my laptop, I promise I don't have any viruses…",Do you have a secret? Because your smile is hiding something magical.,,,,,,
You are a field in my class. You will always be protected.,"Oh, you are here! How’s heaven without you then?",,,,,,
You are my API. I want to know everything about you.,"If you were a breeze, you’d be the gentle touch that calms my soul.",,,,,,
You are my increment operator. You make my value increase.,Do you have a pen? I want to write about our future.,,,,,,
"You are my initializer: without you, my life would point to nothing (null).",Are you from Tennessee? Because you’re the only 10 I see.,,,,,,
You are my loop condition. I keep coming back to you.,Do you know French? Coz Eifell for you.,,,,,,
You are my methods. I am nothing without you.,Are you sure you’re not tired? You’ve been running through my mind all day.,,,,,,
You are my semicolon; always present in everything I do.,Do you eat raisins every day? No? How about a date?,,,,,,
You are my superclass: you define what I can do.,I’m lost. Can you give me directions to your heart?,,,,,,
"You are so hot girl that when I first laid eyes on you, I reached a runtime error.",Would you mind if I lend you my library card in return for your number?,,,,,,
You are the Apple of my i-Mac.,How can I plan our wedding without having your number?,,,,,,
You are the IDE of my life: I find it easier because of you.,Are you a loan? Coz you are gaining my interest.,,,,,,
You are the JDK (Java Development Kit) in my life. I won't compile without you.,"Well, here I am. What are your other two wishes?",,,,,,
You auto-complete me.,"If being in love is illegal, I would like to be your partner in crime.",,,,,,
You can put a Trojan on my Hard Drive anytime,Wanna touch my shirt? It’s made of boyfriend material.,,,,,,
You defragment my life,"Roses are red, my cheeks are too, coz I’m around you",,,,,,
"You got me stuck on Caps Lock, if you know what I mean.","I’m writing a phone book, can I get your number?",,,,,,
"You had me at ""Hello World.""",Could you please talk to me? I need some sweetness in my life.,,,,,,
You have a trojan? hmm... I think I'll need to take a look at that backdoor.,I believe in following my dreams. Can I have your Instagram?,,,,,,
You have nice syntax.,Are your parents preachers? Because you are a beautiful blessing.,,,,,,
You look familiar. What's your Twitter handle? I think I follow you.,"If you were a flower, you’d be a daaaaaamn-delion.",,,,,,
You make me want to calibrate my joystick without the latest drivers,"If you were a potato, you would be a sweet one.",,,,,,
You make my software turn into hardware!,I hope you know CPR because you are taking my breath away.,,,,,,
You must be tired because you've been streaming through my RSS feed all day…,"If you were a hamburger at McDonald’s, you’d be a McGorgeous.",,,,,,
You must be Windows 95 because you have me so unstable.,If you were words on a page you’d be the fine print.,,,,,,
You put the SPARC in my workstation.,We don’t need lights in the room. Your smile is enough to light up the space.,,,,,,
You still use Internet Explorer? You must like it nice and slow.,Your lips look lonely. Would they like to meet mine?,,,,,,
You totally spiked my traffic.,Are you Netflix? Coz I can watch you for hours.,,,,,,
You turn my floppy disk in to a hard drive,"I’m not currently an organ donor, but I’d love to give you my heart.",,,,,,
"You want to learn about computers huh, you've already passed the first lesson ""Turning Me On""",Could you move away from the bar? You are melting the ice.,,,,,,
You're hotter then the bottom of my laptop.,"I have a phone number, you have a phone number—think of the possibilities.",,,,,,
You're making me feel like I have something in common with these pop-up ads.,OMG! do you brush your teeth? We have so much in common.,,,,,,
"You're so pretty, I wouldn't even need to use an Instagram filter if I took your photo.",Did it hurt? When you fell from heaven?,,,,,,
You've stolen the ASCII to my heart.,Are you Siri? Because you autocomplete me.,,,,,,
Your beauty rivals the graphics of Call of Duty.,Are you an artist? Because you’re really good at drawing me in.,,,,,,
Your beauty rivals the graphics of MW3.,Do you remember me? I’m the man of your dreams.,,,,,,
Your eyes are far more gorgeous than any source code I have ever seen.,"I thought this was a dating app, but it must be a museum because you are a work of art.",,,,,,
Your homepage or mine?,Would you like to cut a cake with me? A wedding cake!,,,,,,
Are you a time traveler? Because I can see you in my future.,"I think I saw you on Spotify, you were listed as the hottest single.",,,,,,
Are you a time traveler? Because I see you in my future.,Are you a ninja? Because you keep jumping in my heart.,,,,,,
Are you the North Star? Because I’d be lost without you in my future.,Did we go to school together? I swear we had chemistry.,,,,,,
Can I be in your future as much as you’re in mine?,I thought happiness starts with an H. But mine starts with U.,,,,,,
Can I be your future and your forever?,"If being beautiful was a crime, you’d be booked.",,,,,,
Can I borrow your time machine? I want to fast forward to our future together.,Did you know penguins stick to one partner their whole life? Would you like to be my penguin?,,,,,,
Can I plan my future around you?,"Want a raisin? No? Well, how about a date?",,,,,,
Can I take a picture of you so I can show my future ex-wife what I want for my next marriage?,Thank God I have life insurance. Because you make my heart stop.,,,,,,
Can you be my future and make all my dreams come true?,Guess what I’m wearing? The smile you gave me.,,,,,,
Can you be the light in my future?,"If you were a fruit, you would be a fine-apple.",,,,,,
"Hey there, future wife. I don’t know who you are, but I’m excited to find out.",Do you play soccer? You look like a keeper.,,,,,,
"I believe that everything happens for a reason, and I have a feeling that you’re my future wife.",Does your name begin with a C? Because I C us together.,,,,,,
"I don’t have a crystal ball, but your future husband is here.",Have we met? You look exactly like my next partner.,,,,,,
"I don’t know what the future holds, but I hope it involves a lot of you.",Allow me to follow you. Because someone told me to follow my dreams.,,,,,,
I don’t need to predict the future to know that I want to spend it with you.,"Apart from being this good-looking, what else do you do in your life?",,,,,,
"I don’t need to see the future to know that my future wife is going to be the most amazing woman in the world, and I think that woman is you.",Do you have an extra heart? I lost mine watching you.,,,,,,
"I know that you’re going to be a wonderful future husband, and I want to be your wife to experience it all with you.",Are you a fruit? Because we could make a great “pear.”,,,,,,
"I may not have a crystal ball, but I see you in my future.","Are you a spiritual person? Well, I am at peace when you are around me.",,,,,,
"I may not have a time machine, but I see a future with you.",Do you like bagels? Because you’re bae goals.,,,,,,
"I may not know what the future holds, but I know I want you in it.",Can I tie your shoes? Because I don’t want you falling for others.,,,,,,
"I might not know who you are yet, but I know one thing for sure: you’ll make an amazing future wife.",Are you religious? ‘Cuz you’re the answer to all of my prayers.,,,,,,
I must be a magician because I just made you appear in my future.,"I can see a lot in your eyes, except your name.",,,,,,
I see a bright and beautiful future with you as my husband.,"They say nothing lasts forever, so will you be my nothing?",,,,,,
"I think I see the future, and it involves you and me.","Do you believe in love at first sight, or should I walk past again?",,,,,,
"I want to build a future together with you, creating a lifetime of beautiful memories.",Do you know how to train butterflies? The ones in my stomach right now are quite untamed.,,,,,,
I’m jealous of future me because he’s got your number and I don’t.,Smile if you wanna take me on a date.,,,,,,
"I’d say “till death do us part,” but I’d rather be your future ex-husband instead.","I’m trying to think of something to say, but all I can think about is how cute you are.",,,,,,
"I’m a firm believer in the future, and I see you in mine.","You are pretty, and I am awesome. We can be pretty awesome together.",,,,,,
"I’m not a psychic, but I can see a future with you.","No pen, no paper… but you still ‘draw’ my attention.",,,,,,
"I’m not sure what the future has in store, but I hope it involves a lot of us together.","My parents said, ‘God bless you.’ It just got real.",,,,,,
"I’m not sure what the future holds, but I hope it involves you and me growing old together.",I’m researching important dates in history. Would you like to be mine?,,,,,,
Is your name future? Because I can’t imagine my life without you.,"You cannot be my first, but you can surely be my last.",,,,,,
"Let’s create a future that’s worth waking up to every day, together.","If you could be anywhere in the world, doing anything you wanted, where would we be?",,,,,,
"Let’s make a future that’s bright, and full of love and laughter.",I know why there are gaps between my fingers—so that you can fill them.,,,,,,
Let’s skip the love story and dive straight into our future ex-spouses’ adventure.,Why would I want to look at the stars when I can see the ones in your eyes all the time?,,,,,,
"My future was cloudy until I saw you, now it’s looking bright.",Is it getting hot in here? Or is it just our bond that is forming?,,,,,,
Ready to explore the future with me?,Wow! People like you only existed in my dreams until now.,,,,,,
"The future is a blank canvas, but with you, it’s a masterpiece waiting to be painted.",We should never play hide and seek. Because it’s difficult to find someone like you,,,,,,
"The future is bright, but it’s even brighter with you in it.",You are so perfect that you give the sun a reason to shine every day.,,,,,,
The future is looking better and brighter with you in it.,You are cute. You are fine. Can I call you mine?,,,,,,
"The future is ours for the taking, let’s make it unforgettable.",I can die a happy guy now because I now know what heaven is like looking at you.,,,,,,
"The future is uncertain, but I’m certain that I want you in mine.",I cannot find a suitable word in the dictionary to describe your beauty.,,,,,,
"The future is waiting for us, let’s make it worth the wait.",It’s not my fault I fell for you; I got caught up in your beauty.,,,,,,
The future looks bright with you in it.,You know what’s smart and pretty? The first word in my question.,,,,,,
"The future may be uncertain, but I know I want you in mine.","Did the sun come out from behind the clouds, or did you just smile at me?",,,,,,
"The future may be unknown, but one thing is certain, I want to spend it with you.","Roses are red, violets are blue, both are beautiful, and so are you.",,,,,,
"The future may be unpredictable, but one thing is for sure, I want you in mine.","I can’t sleep anymore. Thanks to you, my reality is finally better than my dreams.",,,,,,
"They say marriages are made in heaven, but so are thunder and lightning – let’s be an electrifying future ex-couple.",You are so sweet; you are giving me a toothache.,,,,,,
"They say the future is uncertain, but I’m certain I want you in mine.",Would you help me find my puppy? I think he went into that coffee shop.,,,,,,
Wanna speculate our futures tonight?,"Hi, I was just gonna get a coffee, and something tells me you’d like one, too.",,,,,,
Want to know what’s in store for our future? It’s you and me together.,Please don’t wear makeup. You would be messing up with perfection then.,,,,,,
Want to see my future? Just take a look into my eyes.,My fortune cookie told me to be more direct. And I’d love to have dinner with you.,,,,,,
Want to take a trip to the future with me? It’s filled with us together.,"Hey, you are forgetting something. Duh! Me!",,,,,,
You’re my future and my forever.,Knowing you has already made me a better person. Can I thank you with a date?,,,,,,
You’re the missing puzzle piece in my future.,"If beauty were counted in time, you would be eternity.",,,,,,
Are you missing anything? Because a part of me wants to be inside you.,Mind if I take a picture of you for my Christmas list?,,,,,,
Are you the missing girl from that poster? Because you are missing in my life.,"Hi, I’m new in town. Could you give me directions to your apartment?",,,,,,
Are you the purpose of life? Because I miss having you around.,You must be the light I saw glowing at the end of the tunnel.,,,,,,
Being away from you is like missing a part of myself.,Please don’t sneeze. God has already blessed you,,,,,,
Did it hurt when you fell from heaven? Because God has been missing his angel.,I need to test a theory that food tastes better when I’m sitting with you.,,,,,,
Did it hurt when you fell from the masterpiece? Because you’ve been missing from my life.,"Are you lost, ma’am? Because heaven is a long way from here.",,,,,,
"Girl, you are the missing piece to make my heart full again.",I had another nightmare again. Thank God it wasn’t real! You’re still here.,,,,,,
"God may have created the universe, but he created you specifically for him, and I know he misses his angel.",Hey sweetheart! Isn’t that your name?,,,,,,
"God may have missed his angel, but now he’s given me the chance to be with her, and I’m never letting go.",I don’t know which I’d rather be — the wall or the one that makes you walk into it.,,,,,,
God must be missing an angel because you’re too perfect to be from this world.,"If you were a teardrop, I would never cry.",,,,,,
God must be missing his angel because there’s no way anyone as beautiful as you could have come from this world,"One minute in your company, and suddenly I’m thinking of new paint colors.",,,,,,
"I can’t stop missing you, even when you’re not here.","Do you want to see me happy? Well, you need to keep talking to me then.",,,,,,
I couldn’t help but notice that you’re missing from that picture. Can I make up for it by taking you out for a drink?,"Stop me when this becomes true, but once upon a time, you and I went on a date.",,,,,,
"I don’t know if God is up in heaven, but if he is, he’s definitely missing his angel down here on earth.","Oh, is it Christmas yet? Because Santa brought you in front of me.",,,,,,
"I know God misses his angel, but I’m grateful every day that he sent you down to earth so I could be with you.","I need a motivating quote, and you look like someone who could motivate anyone.",,,,,,
"I know this might sound crazy, but I feel like I’m meant to find the missing girl from that poster – and it’s you.",Have you ever been to Hawaii? Well it was the most beautiful thing I've seen till I gazed into your eyes,,,,,,
I miss the sound of your laughter and the feeling of your touch.,"Help, something's wrong with my eyes – I just can't take them off you.",,,,,,
"I miss the sound of your voice, your laughter, and your breath.","Hey baby, you've got something on your butt: my eyes.",,,,,,
I miss the way you make me feel.,I can see forever in your eyes.,,,,,,
"I miss the way you smell, the way you taste, the way you feel.","I don't know if you're beautiful or not, I haven't gotten past your eyes",,,,,,
I miss you like a fish misses water.,I have something in my eye. [look her in her eyes] It's still there its beautiful.,,,,,,
"I miss your eyes, your lips, your touch.",I never need to see the sun again because your eyes light up my world.,,,,,,
"I miss your face, your smile, your touch, your love.","I tried to find the perfect line to make you mine, sweetheart, but after searching all I could come up with was this look in my eyes and your hand in mine, and the words, will you be mine?",,,,,,
"I miss your smile, your laugh, your touch, your everything.","I would love to be your tears, to be born in your eyes, live on your cheeks",,,,,,
I never believed in love at first sight until I saw that missing girl poster with your face on it.,I've counted all the stars before. And I think I've missed two. They're in your eyes,,,,,,
I think God misses his angel because he never made anyone as beautiful as you again.,"If you have a chance to become anything on earth what would you want to become?"" [the answer] you: "" well to me, I want to be your tear drop: I was born in your eyes, live on your cheeks, and die on your lips.",,,,,,
I think God must be lonely without you because he sent you to earth to bless us with your beauty.,Is my heart on fire or am I just lost in a love maze without you!,,,,,,
"If God created anything more beautiful than you, he’s keeping it to himself because he doesn’t want to miss you too much.",Is your daddy a thief? Then how did he steal the sparkle of the stars and put it in your eyes?,,,,,,
"If God were a poet, he would have written a sonnet about how much he misses his angel, and it would have been all about you.","No wonder the sky is grey today, all the blue is in your eyes.",,,,,,
"If I could be anyone, I would be God, so I could always have you by my side and never miss my angel.",The only thing your eyes haven't told me about you is your name.,,,,,,
"If you’re an angel, then God must be missing one of his most precious creations, but I promise to take good care of you while you’re here.","There must be something wrong with my eyes, I can't take them off you.",,,,,,
I’m counting down the seconds until I see you again.,"When I look into your eyes, I see an ocean",,,,,,
I’m missing the feeling of your hand in mine.,"When I look into your eyes, it is like a gateway into the world of which I want to be a part.",,,,,,
"I’m not sure how many angels there are in heaven, but I know that God misses his favorite angel because she’s here with me.","When I'm eighty, I'll look back on three big things in my life: getting married, having kids and the first time I laid eyes on you.",,,,,,
I’m pretty sure God misses his angel every time he looks down on earth and sees how beautiful you are.,Who took the stars out of the sky and put them in your eyes?,,,,,,
"I’m sure God is counting the days until he can be reunited with his angel, and I’m counting the minutes until I can be with you.",You got something on your chest: my eyes,,,,,,
I’m trying h_g and c_ddle but there’s one thing I’m missing. U.,"You know that I think about you only twice a day? Once when my eyes are open, and once when they are closed.",,,,,,
"I’ve been staring at that missing girl poster for hours, and all I can think about is how I’m missing out on the chance to get to know you.",You know what? Your eyes are the same color as my Porsche.,,,,,,
Life feels empty without you here.,You must be from out of space cause I can see the stars in your eyes.,,,,,,
Life just isn’t the same without you here.,"You need $20 and a friend. Give friend the $20. Walk up to target. Friend says, ""You're right. Those are the most beautiful eyes I have ever seen."" Hands you the $20 and walks away.",,,,,,
My day feels incomplete without hearing your voice.,"You're eyes are bluer than the Atlantic Ocean and baby, I'm all lost at sea.",,,,,,
My heart aches for you when we’re apart.,Your earrings are the mirrors which reflect the moonlight into your eyes,,,,,,
"My heart is like a puzzle, and you’re the missing piece.",Your eyes are as blue as my toilet water at home.,,,,,,
My life feels incomplete without you by my side.,Your eyes are as blue as window cleaner.,,,,,,
Seeing that missing girl poster made me realize what I’m missing in my life – and it’s you.,"Your eyes are blue, like the ocean. And baby, I'm lost at sea.",,,,,,
That missing girl poster may have brought us together – can I buy you a drink and hear your story?,"Your eyes are really cute. Oh, wait! I think the right one is a little cuter than the left one.",,,,,,
The only thing missing in my life is you.,Your eyes are so mysterious I'd like to be your detective.,,,,,,
The thought of you is always in my heart and on my mind.,Your eyes have touched my soul,,,,,,
The world is a little bit darker and a miss without you here.,"Your senses must be messed up, because your eyes are talking to me.",,,,,,
"They say absence makes the heart grow fonder, and I can’t stop thinking about you since I saw your face on that missing girl poster.","Where's the tag that says ""made in heaven""?",,,,,,
"They say God works in mysterious ways, but I think he just missed his angel too much and sent you down to earth to fill that void.","Am I dead, Angel-face? Because those wings are heavenly!",,,,,,
"They say that when God made you, he broke the mold, and now he misses his perfect angel.","Am I dead, Angel? Because this must be heaven!",,,,,,
"They say that when one door closes, another opens, and I think that’s what happened when God missed his angel and sent you to me.","Angels fall from the sky, I rise from the bottom.",,,,,,
What does abcdefghijklmnopqrstvwxyz and me have in common? Missing U.,Are you a care package? Because you must've fallen from heaven.,,,,,,
"When you’re not here, everything feels a little bit off.",Are you dead or alive? Because my religion says only the dead can be angels.,,,,,,
You are the missing piece of my life-set.,Are you lost ma'am? Because heaven is a long way from here.,,,,,,
You complete me in ways I never thought possible.,Are you religious? Because you are the answer to all my prayers.,,,,,,
You have no idea how much I miss you.,"Baby, somebody better call God, because he’s missing an angel!",,,,,,
"You may be missing from that poster, but you’re present in my thoughts. Can I take you out on a date to make up for lost time?",Can I get your picture to prove to all my friends that angels really do exist?,,,,,,
"You’re always on my mind, even when we’re apart.",Did you fell from heaven because have sex with me?,,,,,,
"You’re like a ray of sunshine in my life, and I miss your light.",Do you believe in modern revelation? Because I believe I'm standing in front of an angel.,,,,,,
"You’re my missing piece, and I can’t wait to have you back in my life.",,,,,,,
You’re the missing link that makes life possible.,"Girl, did you fall from heaven to be with me?",,,,,,
You’re the missing puzzle piece that completes me.,,,,,,,
You’re the only one who can make my heart feel whole.,Heaven's missing an Angel.,,,,,,
Are you a good night's sleep? Because I can't stop thinking about you.,"Hello angel, would you like to ride a rainbow with me?",,,,,,
Are you a nap? Because I could use one of you right about now.,Hey can you take off your clothes for me? I want to see how an angel hides its wings.,,,,,,
Can I be the sandman and sprinkle some magic dust on you so we can dream together?,How come you're not on top of a Christmas tree? I thought that's where angels belonged.,,,,,,
Can I be the Sandman to your Sleeping Beauty?,"I didn't believed in heaven, until I saw you.",,,,,,
Can I be your blanket? I promise to keep you warm all night long.,I didn’t know that angels could fly so low!,,,,,,
Can I borrow a nap from you? Because I don't want to sleep alone tonight.,I hope Angels know CPR because you take my breath away.,,,,,,
Can we fall asleep together and wake up to a new day together?,"I know I dont have a chance, but I just wanted to hear an angel talk.",,,,,,
Can we have a sleepover? Because I could really use your company tonight.,I must be in heaven because I'm looking at an angel!,,,,,,
Can we just hold each other and drift off into dreamland?,"I think I can die happy now, because I've just seen a piece of heaven.",,,,,,
"Can we just lay here, forget about the world and fall asleep in each other's arms?","I wasnt sure if you were a beautiful angel or a sexy devil, but now that I'm close I see heaven in your eyes.",,,,,,
Can we just stay in bed all day and never leave each other's side?,Is that a ladder in your pants or a stairway to heaven?,,,,,,
Can't sleep because I'm too excited to wake up next to you.,Is that baby oil on your forehead? Because you shine like an angel.,,,,,,
Can't sleep because you're always on my mind.,It must be a day off in heaven for an angel like you to be amongst us.,,,,,,
Can't sleep without feeling the warmth of your body next to mine.,Nice wings! Can i buy you another vodka Red Bull?,,,,,,
Can't sleep without the sound of your breathing next to me.,"Speak of the devil....or should I say ""Angel""?",,,,,,
"Can't sleep? Don't worry, I'll keep you company.","There are 20 angels in the world 11 are playing, 8 are sleeping and 1 of them is standing in front of me.",,,,,,
Can't sleep? Let me help you relax and unwind.,Was it red bull that gave you wings or are you just an angel?,,,,,,
Can't sleep? Let me hold you until we both doze off.,What time do you have to be back in heaven?,,,,,,
Can't sleep? Let's cuddle until we both drift off.,When I marry you I wonder if God will be mad that I stole one of his angels.,,,,,,
Can't sleep? Let's make some unforgettable memories together.,Would you touch me so I can tell my friends I've been touched by an angel?,,,,,,
Can't sleep? Let's make the most of our time together.,You’re a twinkle in my eye and an angel from the sky.,,,,,,
Do you like sleeping? Because I promise to give you sweet dreams every night.,You look so familiar… didn't we take a class together? I could've sworn we had chemistry.,,,,,,
Do you like sleeping? Because I want to be your dream come true.,You make me melt like hot fudge on a sundae.,,,,,,
Do you like sleeping? Because I'd love to share my bed with you.,You make me wish I weren't gay!,,,,,,
Do you like sleeping? Because I'll do whatever it takes to make sure you have a good night's rest.,You make my software turn to hardware!,,,,,,
Do you like sleeping? Because I'm the perfect partner for your cozy nights in.,"You may be asked to leave soon, you're making all the other women look bad.",,,,,,
Forget Netflix and chill - let's have a sleepover and snuggle under the blankets.,"You may fall from the sky, you may fall from a tree, but the best way to fall... is in love with me.",,,,,,
How about we skip the bar and have a cozy sleepover instead?,You must be a hell of a thief because you stole my heart from across the room.,,,,,,
How did you sleep last night? Because I want to be the reason why you slept so well.,"You must be a high test score, because I want to take you home and show you to my mother.",,,,,,
How did you sleep last night? Because I was dreaming about you all night long.,"You must be a ninja, because you snuck into my heart",,,,,,
How did you sleep last night? I wish I could have been there to cuddle you.,"You must be from Pearl Harbor, because baby, you're the bomb.",,,,,,
How did you sleep? Because I couldn't stop thinking about you and if you were comfortable.,"You must be Jamaican, because Jamaican me crazy",,,,,,
How did you sleep? Because I want to make sure you always have a good night's rest.,You really shouldn't wear makeup. You're messing with perfection!,,,,,,
I can't help but feel sleepy around you - you must be my nap soulmate.,"You remind me of a magnet, because you sure are attracting me over here!",,,,,,
I can't sleep without you by my side.,"You Say: ""Sorry, I can't hold on... I've already fallen for you.""",,,,,,
"I could get lost in your eyes for hours, even while we're sleeping.",You see my friend over there? [Point to friend] He wants to know if YOU think I'M cute.,,,,,,
"I could really use a nap, but I'd rather spend that time with you.",You see my friend over there? He wants to know if you think I'm cute,,,,,,
I could stay in bed with you all day and never get tired.,You should be someone's wife.,,,,,,
I could watch you sleep forever and never get bored.,"You should go in the water, because you're so hot you're on fire!",,,,,,
"I don't always nap, but when I do, I dream about you.",You shouldn't wear makeup. It's messing with perfection,,,,,,
"I don't know about you, but I could really use a nap right now - and you, of course.","You spend so much time in my mind, I should charge you rent.",,,,,,
"I don't need coffee to wake up in the morning, I just need the thought of you.",You wanna know what's beautiful? Read the first word again.,,,,,,
"I hope I'm in your dreams tonight, because you've been on my mind all day.","You, Before I Wake Up From this Dream.",,,,,,
I hope I'm the last thing you think about before you fall asleep and the first thing you think about when you wake up.,"You'd better direct that beauty somewhere else, you'll set the carpet on fire.",,,,,,
I hope you dream about me tonight because I'll definitely be dreaming about you.,You're 'No Parking' right? Just trying to guess your sign.,,,,,,
"I know it's a little bit old-fashioned, but I'd love to have a sleepover with you.",You're hotter than donut grease.,,,,,,
"I know we're just friends, but would you like to have a sleepover with me?",You're hotter than Papa Bear's porridge.,,,,,,
"I love sleeping next to you, but waking up next to you is even better.","You're kinda, sorta, basically, pretty much always on my mind.",,,,,,
"I love the way you look when you're sleeping, peaceful and serene.","You're like a dictionary, you add meaning to my life!",,,,,,
"I may be tired, but I can't fall asleep without hearing your voice.",You're like a prize winning fish. I dont know whether to eat you or mount you.,,,,,,
"I need a nap, but I'd much rather have one with you.","You're like pizza. Even when you are bad, you're good",,,,,,
I never knew how much I needed a good night's sleep until I met you.,You're single. I'm single. Coincidence? I think not.,,,,,,
I never knew how much I needed someone to cuddle with until I met you.,You're so beautiful that you made me forget my pickup line,,,,,,
I never knew how much I needed someone to hold me until I met you.,You're so hot you must've started global warming.,,,,,,
I never thought I'd find someone who could match my sleeping schedule until I met you.,You're so hot you would make the devil sweat.,,,,,,
I want to be the first thing you see when you wake up and the last thing you think about before you fall asleep.,You're so hot you would make the devil sweat.,,,,,,
I want to be the one who helps you sleep like a baby every night.,"You're so hot, I bet you could light a candle at 10 paces.",,,,,,
"I want to be the one who you hold close and never let go, even in your sleep.","You're so hot, I could bake cookies on you.",,,,,,
I want to be the one who you think about before you fall asleep and after you wake up.,"You're so hot, that if you ate a piece of bread, you'd poop out toast!",,,,,,
I want to be the one you dream about every night.,"You're so hot, you'd make the devil sweat",,,,,,
I want to be your pillow so I can support you through all your dreams.,You're so hot; you make the sun envious.,,,,,,
I want to be your sleeping beauty and wake up to your true love's,"You're so sweet, you're giving me a toothache.",,,,,,
I want to be your sleepwalking partner for life.,"You're the only girl I love now... but in ten years, I'll love another girl. She'll call you 'Mommy.'",,,,,,
I want to be your teddy bear and cuddle you all night long.,You’re so beautiful; your birthday should be a national holiday.,,,,,,
I want to fall asleep holding your hand and wake up to your kisses.,Your ass is so nice that it is a shame that you have to sit on it.,,,,,,
I want to fall asleep in your arms and wake up to your smile every day.,Your body is 65% water and I'm thirsty.,,,,,,
I want to fall asleep in your arms and wake up to your sweet kisses.,Your eyes are as blue as window cleaner.,,,,,,
I want to fall asleep listening to the sound of your heartbeat.,"Your eyes are blue, like the ocean. And baby, I'm lost at sea.",,,,,,
I want to fall asleep with you and wake up to the smell of coffee and breakfast.,"Your eyes are bluer than the Atlantic ocean, and baby I'm lost at sea!",,,,,,
I want to fall asleep with you in my arms and wake up to your beautiful smile.,"Your eyes are like a sunset, They're Beautiful, inspiring, and hard to turn away from.",,,,,,
